content,sentimen,aspek
"aku baru bikin rekening BNI, dan instal m-banking nya, ternyata sangat amat sekali worth it, karena Wondr by BNI mudah digunakan dan tampilanya kece. Apalagi minimal saldonya ramah dikantong, jadi nggak perlu khawatir, terus biaya adminnya juga dikit, yg paling aku senengi adalah, bisa narik tunai 20k jadi lebih hemat. Selama aku pakai ini aku nyaman banget, jadi nggak boros dan nggak khawatir aplikasinya lelet, karena buat transaksi itu sat set, jadi menghemat waktu.",Positive,Tampilan
aku udah pake wondr beberapa bulan ini dan beneran deh pake wondr ini sangat ngebantu aku. tampilannya sangat simple jadi gampang buat di gunain. fitur nya lengkap banget. dan fitur scan qris nya membantu bangeeeeeet. ga lelet dan langsung satset.,Positive,Tampilan
"Aplikasi dari bank bni dg tampilan keren, memudahkan kita untuk transaksi perbankan, wondr BNI keren yg blm punya silakan download",Positive,Tampilan
"Sejauh ini aplikasinya ok banget ya. Tampilannya modern dan responsif. Untuk ngecek saldo dan mutasi akun juga akurat, fitur fiturnya juga ok dan lengkap",Positive,Tampilan
"Ini aplikasi keren banget sih,bisa lengkap banget fitur nya,dari mulai ngatur keuangan,pesan tiket buat liburan ,sampai investasi juga bisa, daftar juga mudah",Positive,Tampilan
"Aplikasi yang bener bener bikin hidup jadi lebih gampang! Fiturnya lengkap, desainnya simpel, dan transaksinya cepet banget. Recommended banget buat yang suka serba praktis dan sat set kayak aku.",Positive,Tampilan
Aplikasi jelek..selalu bug selalu minta verifikasi kalo mau masuk... Ga work it lebih bagus lewat aplikasi BNI mobile..ga bisa simple kaya BNI mobile..,Negative,Tampilan
"Bagus sih banyak promo menarik Tapi Riwayat transaksi masih ga sinkron. Uang keluar masuk ga tercatat sepenuhnya. Masih oke apk yang lama. Semoga lekas diperbaiki, Komentar 21/12/2024",Positive,Tampilan
"Aplikasinya keren banget cuy, fiturnya lengkap dan gampang banget dipahami. Semua fungsi berjalan mulus tanpa hambatan, jadi bikin nyaman buat dipakai setiap hari. Desainnya juga enak dilihat, simpel tapi tetap modern. Yang bikin makin oke sih, aplikasi ini beneran nge-support kebutuhan gw sehari-hari. Mantap banget, lanjut terus pengembangannya min!",Positive,Tampilan
"Nah suruh migrasi tapi belum siap, tarik tunai ATM, pembayaran menggunakan QRIS, isi E-wallet dengan nominal diatas 2juta juga tidak bisa, tampilan juga lebih simple yang BNI mobile banking.. Terlalu banyak menu jendela untuk 1 menu. Perbaiki segera buat susah kami pengguna!",Negative,Tampilan
"Good job wondr! ðŸ‘ Aplikasinya ringan, tampilan simpel, enak dilihat dan di pakenya. Selalu lancar si selama pakai, ngga pakai loading. Pokoknya suka, fiturnya lengkap gampang di mengerti.",Positive,Tampilan
"Aplikasinya toloong lebih di perbaiki doong,,,bukan bkin simpel saat urgent malah bikin riweh dan sulit,,harus kluar masuk aplikasi krn suruh update,,sdh di coba berulang ulang tetep aj msh ga bisa,,",Negative,Tampilan
"aplikasinya sangat membantu untuk transaksi bayar tagihan top up lainnya Ibih mudah dan ga ribet, filturnyaa mudah di pahami, desainnya juga baguss dengan perpaduan warna yang cantik",Positive,Tampilan
"suka banget sama apk wondr by BNI ini karna sangat memudahkan jika ingin bertransaksi kemanapun, kapanpun dan dimanapun. fiturnya gampang diakses, tampilannya tidak membingungkan, aplikasi yang worth it untuk diinstall karna dengan memakai aplikasi ini kita ga harus bolak balik ATM/bank. terimakasih wondr by BNI love love love!!!",Positive,Tampilan
Aplikasi perbankan yang sangat membantu untuk segala transaksi. Sangat gampang dan mudah digunakan. Semoga tampilan nya lebih bagus lagi nantinya.,Positive,Tampilan
"aplikasinya bagus,tampilannya juga sangat keren.Untuk fitur juga banyak dan gampang dipakai.Worth it banget deh untuk mempermudah semua transaksi.Tampilan warnanya ga monoton bikin hati seneng liatnya.Mantep dehhðŸ‘ðŸ»ðŸ‘ðŸ»",Positive,Tampilan
"Aplikasi wondr simpel bgt, gampang registernya. UI nya sangat menarik guys semoga semakin banyak fiturnya",Positive,Tampilan
"Saya juga sudah instal, wow lumayan keren tampilannya, fitur juga lengkap. Semakin memudahkan Kita untuk berbagai keperluan transaksi,sejauh ini lancar lancar saja. semoga semakin baik ðŸ‘",Positive,Tampilan
Saya suka menu tampilanya mudah diakses,Positive,Tampilan
Lebih simpel,Positive,Tampilan
Semakin menarik dan praktis,Positive,Tampilan
Gajelqs udh kelar dftr tp balikbalik mulu ke tampilan awal pdhl dah isi pswd dll tinggal login aps.,Negative,Tampilan
Aplikasi belum siap jangan dipaksakan. Tarik tunai tanpa kartu kenapa g bisa? Simpel yg lama,Negative,Tampilan
"Aplikasi wondr BNI sangat membantu , dan sangat simpel digunakan, Semoga sukses selalu",Positive,Tampilan
"Suasah banget mau login aja. Tampilan diawal selalu syarat dan ketentuan, terus muncul notif sesi telah berakhir. Saya edit lagi ulasannya. Karena saya udh uninstall, terus download lagi, kendala masih sama. Gak berguna aplikasinya, sampe login aja ga bisa.",Positive,Tampilan
"Saya sangat puas dengan pengalaman menggunakan Wondr by BNI karena aplikasinya memiliki tampilan yang modern, intuitif, dan mudah digunakan. Fitur-fiturnya lengkap dan membantu saya mengatur keuangan, mulai dari menabung, bertransaksi, hingga memantau pengeluaran dengan lebih praktis. Salah satu hal yang paling saya sukai adalah proses transaksinya yang cepat dan aman, sehingga tidak perlu khawatir soal keterlambatan atau masalah teknis. Dengan Wondr by BNI, saya merasa lebih terbantu dalam meng",Positive,Tampilan
Nice UI dan simple,Positive,Tampilan
"Lebih simple, mksh bni",Positive,Tampilan
Minta tolong dong admin BNI. Saran dari saya masukin program aplikasi di dalamnya yaitu Tarik tunai tanpa kartunya biar lebih simple dan mudah. ã©ã†ã‚‚ã‚ã‚ŠãŒã¨ã†ã€‚ãŠé¡˜ã„ã—ã¾ã™ã€‚,Positive,Tampilan
"Apk bagus untuk keamanan akun cukup bagus, dan juga simple",Positive,Tampilan
"Sukses selalu yang bilang bug ini itu ya gimana lagi aplikasi baru,tapi ini lebih simpel daripada mobile bni yang super ribet harus bolak balik ke cabang tingkatkan lagi sangat membantu sekali.",Positive,Tampilan
"Lebih simpel pake wondr, tapi gagal terus buat bikin biometrik ....",Positive,Tampilan
"RUWET, banyak menguras penyimpanan, lebih simpel dan efisien pake aplikasi sebelumnya.",Negative,Tampilan
Menarik dan bagus tp dg muncul aplikasi baru fitur fiturny dilengkapi jangan kalah dg yg lain,Positive,Tampilan
"Masuk ke menunya ribet, verifikasi terus, mohon dibantu supaya aplikasi bisa digunakan dengan cepat dan simpel",Positive,Tampilan
"Tampilannya ok, kalau bisa tarik tunai tanpa kartu juga di adakan seperti Mobile banking",Positive,Tampilan
"ccad kali apk buatan sapa ini lemot poll, mending BCA mobile sumpah simple gak ribet gak banyakan opsi",Negative,Tampilan
Bagus pengalaman lebih menarik lebih simpel aja,Positive,Tampilan
"ga bisa di pake buat bayaran pendidikan, hanya UI aja yg ada, universitas yg lain ga ada kurang worth it untuk saya sebagai mahasiswa yg males antri di admin karna rame",Negative,Tampilan
"Tampilan baru Oke, tapi fitur tidak lengkap seperti yang ada di BNI Mobile Banking. Mohon diperbaiki. Terutama riwayat transaksi, tidak update dibandingkan dengan aplikasi lama Tolong yang sudah ada di aplikasi lama dikembangkan, bukan dihilangkan",Positive,Tampilan
"Sudah cocok enak di pake, simpel, kendala di ewalet masih blm sinkron,sy anggap wajar karna apliksi masih baru perlu di upgrate lg",Positive,Tampilan
Desainnya ok banget,Positive,Tampilan
"Sangat simpel dan cepat,ðŸ‘ðŸ‘",Positive,Tampilan
"Buat devoleper wonder BNI saran dari saya tolong buatin fitur cardlessnya supaya bisa narik uang tanpa menggunakan kartu ATM dan buatin juga fitur mutasi rekening pemasukan dan pengeluaran yang bisa di download untuk rekap mingguan atau bulanan itu aja saran dari saya, untuk keseluruhan fitur sudah bagus cuma 2 fitur aja yang belum tersedia mohon untuk di isi ya di apps wondernya terimakasih.",Positive,Tampilan
Bagus banget lebih cepat dan simpel,Positive,Tampilan
kerenn apk nyaa,Positive,Tampilan
"Aplikasinya simpel namun sangat membantu, gak perlu repot2 lagi bolak balik ATM, Terimakasih BNI",Positive,Tampilan
lebih simpel lebih cepat mantap sukses selaluðŸ‘ðŸ‘ðŸ‘,Positive,Tampilan
proses transaksi menjadi lebih simpel tapi tetap aman. TOP,Positive,Tampilan
App yg sangat simple,Positive,Tampilan
Aplikasi yang bagus simple penggunaannya,Positive,Tampilan
Mudah di gunakan dengan tampilan yang ke kinian jadi lebih mudah di gunakan,Positive,Tampilan
Sy lebih Apl lama krn di mutasi rekening ada sisa saldo kta brp kliatan. Klo yg baru ini cuma mutasi aja gk ada saldo akhirx. Krn mutasi rek.yg sekarang ini suka double2 tampilan debetx. Jdi kta gk tau ini ke debet 2x apa cm sekali aja. Klo rek.lg dikit bisa aja kliatan. Tolong BNI di bagusin lg apl nya,Negative,Tampilan
bagus banget aplikasi ini sangat simpel di gunakan...buat aku lebih mudah transaksi dari kesibukan sehari-hariðŸ‘ðŸ‘,Positive,Tampilan
Aplikasi menarik banyak,Positive,Tampilan
Aplikasinya sangat mudah digunakan kereen.........,Positive,Tampilan
Bagus lebih simpel gak jauh beda dari sebelumnya,Positive,Tampilan
Mau bayar uang semester kuliah tp yg ada di aplikasi cuma UI doank,Negative,Tampilan
BNI semakin keren dgn fitur yg lebih lengkap,Positive,Tampilan
Sering gangguan ngk jelas. LBH baik mbankingnya aja dari pada aplikasi ini. Bukannya bikin simpel dn CPT malah bikin masalah,Negative,Tampilan
keren sekali,Positive,Tampilan
"Aplikasinya memang lebih simpel, namun fiturnya ternyata mengikuti simpel juga. Fitur tarik tunai, gift, dan bbrp fitur lain menjadi tdk ada",Positive,Tampilan
Lbh ribet.. Kurang simple,Negative,Tampilan
Skrng BNI lebih keren dan sdh punya m banking winder BNI makin cinta,Positive,Tampilan
Menurutku aplikasi ini sangat keren sih,Positive,Tampilan
"Bagus banget.... Penggunaan aplikasinya Mudah dan cepat aksesnya. Aplikasinya juga warnanya unik, cerah, dan terlihat eye catch. Banyak fiturnya, mudah digunakan, terus tingkatkan layanan terbaiknya ya",Positive,Tampilan
Bagus dan simpel,Positive,Tampilan
"Aplikasi wonder by BNI sangat simple dan mudah digunakan,fitur fiturnya juga mudah di pahami dan berguna untuk transaksi apapun, wonder by bank BNI is wonderfulâœ¨",Positive,Tampilan
"simpel, lancar semua",Positive,Tampilan
Easy and simple to operate,Positive,Tampilan
"aplikasi yang membantu banget dan sangat mudah digunakan, cara daftarnya juga mudah,buat rekeningpun gak perlu ribet cukup dirumah udah jadi deh, dan untuk kartu fisiknya bisa dikirim ke rumah huhuhu segampang dan se praktis itu ,,untuk transaksipun memudahkan banget antu lemot, fitunya pun mudah dipahami, digunakan untuk pembeliam Ecomerce jadi gampang dan simple dengan menggunakan wondr by BNI,",Positive,Tampilan
"Fitur simpel, g ribet memudahkan transaksi. Semua gampang di akses, pembayaran e commerce, transfer, pembayaran Qris. Jadi sat set g ribet banyak apk keuangan, udah jadi 1 di apk wondr BNi",Positive,Tampilan
"Pakai wonder mudah saat transaksi apapun, bayar e-comers dan tagihan yang lainnya sangat praktis, daftar wonder bni juga sangat mudaj dan simple, senyaman ini pakai wonder love it banget",Positive,Tampilan
"Aplikasi terbaru dari BNI, memudahkan penggunanya. Perbedaan apk mobile BNI dengan Wondr adalah : ketika log in memakai sandi kombinasi huruf dan angka, pembayaran pin hanya pakai angka (jadi lebih mudah) saya masih pakai keduanya. Menurut saya lebih simple Wondr ini.",Positive,Tampilan
"sebagai pengguna baru aku excited banget, ternyata ada ya aplikasi banking yang colorful kayak gini, sangat menyenangkan gak monoton warnanya, berasa nyaman dipandang meskipun saldo masih tipis, dan yang paling aku suka ada fitur transfer luar negeri trus langsung nonggol negara tujuan, mantap. apknya gak lelet.",Positive,Tampilan
"Simple sie, cma sayang di aplikasi untuk pinjaman kaya di brimo g ada",Positive,Tampilan
Sangat simpel dan nyaman,Positive,Tampilan
"lemot, tampilan doang yang bagus buat top up di batasi , per hari maksimal 1 juta doang. kalau udah top up 1 juta tuh buat TF ke beda bank udah ga bisa tuh gagal terosss. gak enak pake wondr ,",Positive,Tampilan
Simpel dan tampilan aplikasi menarik,Positive,Tampilan
"Tampilan cukup.Tapi cukup menjengkelkan.Lebih baik dan mudah di M.bankin BNI sebelum nya.ntah apa maksud BNI merubah2 aplikasi.Setiap ada transaksi masuk dan keluar,tidak ada tercatat sisa saldo awal dan sisa saldo terakhir di transakasi terakhir nya.Jadi meragukan.Tolong rubah tampilan saldo nya seperti m.bankingi sebelum nya.",Positive,Tampilan
"Fitur ok simpel,tp sayang tibaÂ² gak bisa di akses.maintenance mulu.",Positive,Tampilan
"Sorry to say,,, masih bagusan aplikasi mbanking bni sebelum wondr,,, karna seriong trouble,, lemotttt, sering gabisa log in,, jaringan padahal lancar jayaaa,,, ayooo wondr tampilan mu boleh anak muda,, tapi harus bisa diakses oleh pengguna hape apa saja dan di mana saja",Positive,Tampilan
Penyempurnaan dari aplikasi yang terdahulu dgn interface yg lbh simpel dan lebih mudah dipahami tanpa mengurasi fungsi.Sejauh ini tdk ada kendala waktu saya pakai. Saran utk selalu ditingkatkan dgn fitur yg lbh update utk kenyamanan pengguna.,Positive,Tampilan
"Mengapa setiap buka aplikasi harus selalu seperti registrasi ulang sebelum mengakses fitur fitur nya? Baca persyaratan, Verifikasi ktp, dll. Kenapa tidak seperti aplikasi lain saja tampilan awalnya, yaitu login atau daftar baru saat pertama kali buka. Hp infinix note 40 pro",Negative,Tampilan
Kalo bisa kedepannya ada fitur untuk update data nomor telepon dan alamat serta fitur setor dan tarik tunai tanpa kartu. Kan simpel bisa dari rumah update data langsung dr aplikasi m-bankingnya. Moga bisa di follow up,Positive,Tampilan
"Aplikasi keren, keamanan baik, Tapi tidak menampilkan saldo disetiap transaksi,semoga bisa ditambah fitur saldo di transaksi,",Positive,Tampilan
"Review jujur : Aplikasi kurang lengkap , masih lebih lengkap BNI Mobile , wondr gak ada menu tarik tunai tanpa kartu Selain lemot tampilan juga kurang menarik, Mohon ditingkatkan lagi karna masih jauh lebih lebgkap BNI MobileðŸ™ðŸ™",Negative,Tampilan
"Keren si ini aplikasinya, banyak banget fitur yang mudah digunakan buat hari2. sebagai pengguna cashless bener2 kebantu banget karena semua transaksi bisa lewat wondr",Positive,Tampilan
"aplikasi keren viewnya doang,apa guna gak bisa setor / tarik tunai di ATM",Positive,Tampilan
"keren banget si apk ini tu aku dah pke dan emg sebagus itu, kita lbh mudah kalau make ini bener seword it ituu sumpah yaaa pengalaman makenya pertama kali gong bgt sebagus itu ternyata, wondr by BNI ini ga perlu di ragukan lagi si bestt banget pokoknya mah so fantastic.",Positive,Tampilan
Balikin lagi ke BNI m banking yg lama yg merah lebih keren kelihatan elegant ga terlihat cupu dan PD kita pake nya fitur nya lebih lengkap dan familiar user friendly dan kesan nya berkelas ngga kayak yg baru ini kayak apk ecek2 kesan nya seperti APK ngga penting aja. Harus nya fitur lebih baik user interface nya lebih mewah tampilan nya bukan malah sebalik nya kek gini fungsionalitas nya jga gak yakin saya bakal sebagus BNI m banking yg merah,Negative,Tampilan
"Untuk metode pembayaran pendidikan di wonder kenapa hanya ada UI saja yah, mohon ditambahkan seperti di app sebelum nya",Negative,Tampilan
"Disuruh pindah dari mbank ke wonder, tapi gak ada opsi tarik tunai tanpa kartu. Tidak menarik.",Negative,Tampilan
"This app is exactly what I needed. Payments are so easy, and the UI is super smooth",Positive,Tampilan
"Wondr has made banking so much easier. Itâ€™s simple to use, and everything I need is in one place",Positive,Tampilan
"UI nya sangat menarik dan menarik perhatian, pastinya mempermudah pemantauan keuangan saya karena bukti transaksi yg sangat detail",Positive,Tampilan
"Aplikasi ini sangat membantu! Tampilan sederhana namun fungsional, cocok untuk semua kalangan. Semoga di depannya ditambah fitur menarik lainnya seperti tarik tunai tanpa kartu. Jaya terus BNI!",Positive,Tampilan
"UI nya baguss enak diliat, user friendly deh pokoknya. aplikasinya juga cepet loadnya jadi ga lama nunggu",Positive,Tampilan
"baru pertama kali instal aplikasi wondr ternyata aplikasi nya keren, mudah di gunakan dan gak ribet dengan fitur fitur yang menarik dan paling penting saya jadi gampang melakukan tarik tunai terimakasih wondr by BNI",Positive,Tampilan
"Aplikasi paling simple dan mudah digunakan bisa untuk mengontrol keuangan juga. Fitur nya lengkap, mantap!",Positive,Tampilan
Aplikasinya udah bagus banget. Tapi kalau bisa tolong ditingkatkan lagi biar tampilannya lebih menarik. Sejauh ini belum ada kendala apapun. Aplikasinya praktis dan ga ribet.,Positive,Tampilan
"Fiturnya sangat menarik, sangat lengkap dan mudah untuk digunakan, tapi tolong ditambahin fitur tarik tunai/cardless ke semua ATM Bank bersama, selain itu udah oke banget, terimakasih BNIðŸ˜",Positive,Tampilan
Tampilannya mudah dan lancar,Positive,Tampilan
"bagus , lebih simple tapi sayang gak bisa tarik tunai tanpa kartu .",Positive,Tampilan
"Aplikasi agak membingungkan tampilannya karena sudah terbiasa pakai BNI Mobile, masukan dari saya agar di riwayat transaksi bisa di download seperti BNI Mobile karena saya memerlukan untuk data kantor. Terima Kasih",Negative,Tampilan
"Tammpilan simpel tapi menarik, jadi mudah dipahami banget. BagussðŸ‘",Positive,Tampilan
"Aplikasinya sangat membantu banget buat transaksi, fitur""nya simpel jadi mudah dipahamiðŸ‘ðŸ‘",Positive,Tampilan
"Parah sih, seharian mbanking gak bisa buka hanya tampilan wonder by bni. Selalu muncul dalam gangguan. Sementara lagi butuh untuk belanja ini bukan hanya saya hampir teman sekantor gak bisa akses. Tolong di cek kembali ya, kalau kayak gini bagusan yang sebelah",Negative,Tampilan
"Secara tampilan bagus, lebih simpel. Tapi secara performa, lebih bagus aplikasi yang lama. Aplikasi ini seringkali error saat ingin melakukan transaksi. Seringkali maintenance tiba-tiba. Tolong ya semoga diperbaiki agar tidak sering error.",Positive,Tampilan
"Belum siap buat aplikasi, masih sering Bug. Masuk aja loading lama, transaksi Qris gagal terus. Katanya lebih simpel tapi justru beberapa fitur penting di BNI M-Banking malah dihilangkan, seperti riwayat transaksi yang tidak bisa di download. Intinya Masih Lebih bagus dengan BNI Mobile Banking yang sebelumnya. Banyak keluhan di Wondr tapi tidak ada perbaikan, ya pantas rating dibawah 4",Negative,Tampilan
"Kembali bintang 5, simple, ringan dan fun.",Positive,Tampilan
"Sangat terpercaya dan efisien, tampilannya menarik dan mempermudah transaksi",Positive,Tampilan
Biji gangguan mulu ga kaya bank2 lain simple jarang gangguan atau perbaikan system terus,Negative,Tampilan
"puas banget pake aplikasi ini, fiturnya banyak dan tampilannya lucu lucu. loadingnya juga lumayan cepet, oke pokoknya",Positive,Tampilan
Aku lebih suka tampilan di bni mobile banking. Krna saldo transaksi input output sangat detail. Kl pakai wondr jd bingung. Apalagi buat pembukuan keuangan sangat amat membantu klo pakai bni mobile banking. Bisa di download pula. Maaf aku lebih suka bni mobile jadi wondr di uninstal saja.,Negative,Tampilan
"""""""I really appreciate the user-friendly design of Wondr. Itâ€™s simple yet very effective.""""""",Positive,Tampilan
UI lebih fresh dan memudahkan,Positive,Tampilan
"Fitur UI dan UX nya menarik, praktis. Tidak meribetkan pengguna untuk melakukan transaksi. Dan juga mempermudah pengguna untuk transfer kemana-mana, bisa E commerce dan E wallet. Dan saya baru tau kalo saldo di m-banking BNI saya masuk juga ke saldo di wondr by BNI. Saya sarankan download aplikasi Wondr by BNI ðŸ§¡ðŸ’›",Positive,Tampilan
kemaren pas ke bni mau bayar spp ke teller tapi antrian panjang terus disaranin sama salah satu pegawai buat bayar di mbanking saja setelah saya coba downlod dan buka rekening ternyata oke juga aplikasinya simple dan jd gampang buat transaksi apapun.,Positive,Tampilan
Kurang lengkap inovasi aplikasi yg baru... transaksi debet nya tidak ada keterangan dan lebih ribet dari yg lama... tampilan nya aja OK tp kurang... smoga ada perbaharui dari fitur2 yg ada lebih lengkap dan jelas... sy kasi bintang 1,Negative,Tampilan
"Suka banget sama fitur2 di Wondr karena sangat membantu, terutama fitur pengelolaan keuangan yang memudahkan saya untuk melacak pengeluaran dan tabungan. Ada juga fitur ""save goal"" yang saya suka karena bisa langsung menetapkan target keuangan dan memantau progresnya. Pake wondr bikin simpel!",Positive,Tampilan
"Saya sudah mencoba menggunakan aplikasi Wondr by BNI, dan pengalaman saya sangat positif! Aplikasinya benar-benar memudahkan saya untuk mengelola keuangan dan berinvestasi secara praktis, Desainnya sangat sederhana dan mudah dipahami, bahkan bagi yang baru pertama kali menggunakan aplikasi keuangan, Ada berbagai fitur menarik, seperti pencatatan keuangan, investasi, hingga fitur untuk merencanakan tabungan masa depan. Semuanya tersedia dalam satu aplikasi!",Positive,Tampilan
"Aplikasinya simpel mudah digunakan, fiturnya lumayan lengkap",Positive,Tampilan
"Aplikasi perbankan yg mempermudah transaksi offline maupun online, dan banyak promoÂ² menarik saat transaksi, terima kasih BNI",Positive,Tampilan
Super impressed with how simple and fast the app is. My transactions are now smoother than ever!,Positive,Tampilan
"pengalaman saya setelah menggunakan aplikasi wondr by bni benar benar mengubah cara saya mengelola keuangan.Dengan tampilan yang modern dan fitur cerdas,semua transaksi jadi lebih mudah dan cepat.Mulai dari nabung hingga investasi,semua ada di satu aplikasi. rasanya seperti punya asisten yg mengatur finansial secara pribadi.",Positive,Tampilan
"Wonder BNI adalah aplikasi mobile banking dari BNI dengan tampilan modern dan fitur lengkap, seperti transfer, pembayaran, dan pengelolaan tabungan. Keamanan terjamin dengan biometrik dan OTP. Namun, ukuran aplikasinya cukup besar, jadi perlu ruang penyimpanan yang cukup. Cocok untuk yang ingin layanan BNI serba digital.",Positive,Tampilan
"Wondr by BNI bikin ngatur keuangan jadi lebih gampang! Fitur Life Goals bantu saya rencanain segala hal, dari nabung liburan sampai investasi. Investasi Reksa Dana mulai Rp100 ribu juga sangat terjangkau. Selain itu, transaksi harian jadi lebih mudah dengan fitur Bayar & Beli, dan isi saldo TapCash cepat banget pakai Express Top-Up. Buat yang sering jalan, tiket Whoosh juga super praktis. Pokoknya, Wondr bikin urusan keuangan jadi lebih simpel dan praktis!",Positive,Tampilan
"Aplikasi Wondr by BNI ini keren abis,transaksinya mudah,sekarang g perlu pusing karena gampang sandinya cukup nomer aja g kayak dulu,apalagi ada login by fingerprint juga g harus ingat2 nomer. Sayang belum ada fitur SMS nya jika melakukan transaksi,tapi sejauh ini cukup memudahkan",Positive,Tampilan
"Puas banget dengan aplikasi ini. Yang paling aku suka dari Wondr adalah tampilan aplikasi yang sangat bagus dan ramah pengguna. Tampilannya simpel, tapi tetap modern, jadi mudah banget dipahami, bahkan bagi yang belum terbiasa dengan aplikasi perbankan digital Terus fitur-fitur lainnya juga lengkap, seperti transfer, bayar tagihan, dan top-up e-wallet, semua bisa dilakukan dengan beberapa tap saja. Pokoknya sangat-sangat membantu",Positive,Tampilan
"Wondr made managing my money much easier. The app is fast, simple, and very secure!",Positive,Tampilan
"Desain aplikasinya simpel tapi modern, jadi nyaman untuk digunakan. Semua fitur tersedia dengan mudah, cocok untuk pengguna baru.",Positive,Tampilan
"Wondr BNI benar-benar solusi perbankan modern yang saya butuhkan. Aplikasinya mudah digunakan, dengan desain yang simpel dan responsif. Semua transaksi, mulai dari transfer hingga pembayaran tagihan, bisa dilakukan hanya dalam hitungan detik.",Positive,Tampilan
"Aplikasi ini sangat mudah, simple dan praktis semuanya lengkap disini pelayanannya juga lebih cepat dari sebelumnya kerenðŸ‘",Positive,Tampilan
"Awalnya tertarik sama iklannya yang seliweran terus. Sekarang udah 2 bulan pakai ini jadi lebih praktis dan simple, bayar pakai Qris tinggal satset selesai. Sejauh ini masih aman juga sih nggak ada hacker-hacker yang masuk itu, soalnya verifikasi keamanannya bagus banget sepertinya.",Positive,Tampilan
"Sejauh ini sy aman aman saja pakai wondr by bni. Aplikasinya keren dan simple, berfungsi dengan baik.",Positive,Tampilan
"aplikasinya mantull banget sih ini, fitur fitur yg ada di dalamnya juga simpel. untuk yg cashless sih cocok ya soalnya ada QR gitu, cuma yg disayangkan sih gaada tarik tunai. keamanannya juga bagus kok",Positive,Tampilan
"Aplikasi ini benar-benar memudahkan saya dalam berbagai transaksi! Fitur-fiturnya lengkap, mulai dari top-up e-money, pembayaran listrik, hingga pendidikan, semuanya tersedia dalam satu aplikasi. Selain itu, promo-promo yang ditawarkan sangat menarik dan sering membantu saya menghemat pengeluaran. Sangat mudah digunakan bahkan untuk yang baru pertama kali mencoba. Sangat puas dan sangat direkomendasikan!",Positive,Tampilan
"suka banget dgn aplikasi wonde BNi, merasa terbantu banget, semuanya JD lbh mudah dan simple",Positive,Tampilan
"Aplikasinya mudah bgt, fiturnya juga lengkap dan menarikk, cocok buat pengguna baru kayak aku, harus bgtt cobaa nihhðŸ˜",Positive,Tampilan
"Aplikasi wondr ini keren banget! Semua transaksi jadi lebih gampang dan cepat. Fitur2nya juga menarik, bikin nabung jadi lebih menyenangkan.",Positive,Tampilan
Aplikasi keren,Positive,Tampilan
"aplikasinya simpel dan mudah digunakan, terdapat tutorial jika masih bingung. Aplikasinya sangat bermanfaat tersedia banyak menu untuk digunakan",Positive,Tampilan
Aplikasinya bagus & penuh warna,Positive,Tampilan
